27,40.57490000,-73.98400000,dr5qu6qm,Northeast,Kings,Coney Island,New York
23,40.70750000,-74.01130000,dr5refdd,Northeast,New York,Financial District,New York
26,40.65010000,-73.94960000,dr5rm0pe,Northeast,Kings,Flatbush,New York
25,40.67820000,-73.94420000,dr5rmm5r,Northeast,Kings,Brooklyn Heights,New York
29,40.67880000,-73.94190000,dr5rmmm5,Northeast,Kings,Bedford-Stuyvesant,New York
22,40.73060000,-73.98660000,dr5rsqu8,Northeast,New York,East Village,New York
28,40.69340000,-73.95330000,dr5rt0hb,Northeast,Kings,Williamsburg,New York
21,40.74880000,-73.98570000,dr5ru6j6,Northeast,New York,Midtown Manhattan,New York
30,40.74210000,-73.91930000,dr5rvbve,Northeast,Queens,Astoria,New York
33,40.75570000,-73.88310000,dr5ryerg,Northeast,Queens,Elmhurst,New York
31,40.74800000,-73.86540000,dr5rz1uy,Northeast,Queens,Flushing Meadows-Corona Park,New York
34,40.68950000,-73.79620000,dr5x2xr1,Northeast,Queens,Howard Beach,New York
32,40.72950000,-73.79620000,dr5x8wx4,Northeast,Queens,Jamaica Estates,New York
20,40.78310000,-73.97120000,dr72h8rf,Northeast,New York,Upper West Side,New York
24,40.80210000,-73.95240000,dr72j5v9,Northeast,New York,Harlem,New York
9,42.08340000,-72.59140000,drkrkjh9,Northeast,Hampden,Springfield,Massachusetts
10,42.10150000,-72.58980000,drkrs0me,Northeast,Hampden,West Springfield,Massachusetts
13,41.63620000,-70.93420000,drmscgek,Northeast,Bristol,New Bedford,Massachusetts
16,41.84590000,-70.97170000,drmw0czf,Northeast,Plymouth,Plymouth Town,Massachusetts
15,41.99000000,-70.97270000,drmwbup3,Northeast,Plymouth,Brockton,Massachusetts
12,41.65890000,-70.28040000,drqhbxz2,Northeast,Barnstable,Barnstable Town,Massachusetts
14,41.70150000,-70.31060000,drqj0p92,Northeast,Barnstable,Falmouth,Massachusetts
11,42.32510000,-72.64120000,drs2g103,Northeast,Hampshire,Northampton,Massachusetts
19,42.26260000,-71.80230000,drsbqjej,Northeast,Worcester,Worcester,Massachusetts
18,42.55840000,-71.88030000,drsfh7d2,Northeast,Worcester,Leominster,Massachusetts
1,42.36010000,-71.05890000,drt2zp2m,Northeast,Suffolk,Boston,Massachusetts
2,42.37510000,-71.10560000,drt3jfnk,Northeast,Middlesex,Somerville,Massachusetts
3,42.38760000,-71.09950000,drt3nh6v,Northeast,Middlesex,Cambridge,Massachusetts
17,42.45840000,-71.14020000,drt3t1m6,Northeast,Middlesex,Waltham,Massachusetts
4,42.49280000,-71.07530000,drt3wxsd,Northeast,Middlesex,Medford,Massachusetts
5,42.23730000,-71.00220000,drt8231f,Northeast,Norfolk,Quincy,Massachusetts
6,42.46680000,-70.94950000,drt99db5,Northeast,Essex,Lynn,Massachusetts
8,42.51950000,-70.89670000,drt9fsqw,Northeast,Essex,Salem,Massachusetts
7,42.63340000,-70.78290000,drtdt31m,Northeast,Essex,Gloucester,Massachusetts
